"","particpate","elaboration","prefood","pregas","prebank","preretail","preother","Rfreq","mile1","mile2","mile3","mile4","basemile"
"1703",0,0,0.5645160675,2.5967731476,16.822570801,0,2.9354820251,0,0,71,0,1,22.9193420412
"1715",1,19,0.1129031777,3.2741928101,0,0,6.7741928101,0,2,1,31,1,10.1612887979
"1717",1,26,15.01612854,10.95160675,57.467712402,3.6129016876,0,0,16,151,152,3,87.0483493796
"1720",0,0,16.14515686,0,12.30644989,0,1.129032135,0,53,31,0,30,29.580638885
"1728",1,34,65.596740723,13.09677124,163.1451416,0.451612711,1.3548383713,0,414,219,57,119,243.6451046453
"1729",1,14,0,2.4838695526,79.709655762,0.451612711,0,0,87,0,0,0,82.6451380256
"1744",1,33,4.7419319153,6.3225784302,16.483856201,0,0,0,2,2,100,8,27.5483665465
"1745",1,50,0,0,42.56451416,0,3.387096405,0,172,0,0,7,45.951610565
"1748",0,0,0,0,22.01612854,0,0.5645160675,0,0,44,10,0,22.5806446075
"1750",1,15,0,0.5645160675,138.75805664,0,0,0,1,2,586,1,139.3225727075
"1763",0,0,0,25.967727661,5.5322570801,0,0,0,6,41,0,3,31.4999847411
"1771",1,3,2.0322570801,1.3548383713,8.3548355103,1.8064508438,4.4032249451,0,8,71,16,1,17.9516067506
"1781",0,0,4.629032135,0.6774191856,35.338684082,1.9193544388,1.6935482025,0,3,29,121,3,44.2580380439
"1788",1,28,0.7903223038,9.0322570801,240.59667969,0,0,0,81,2,1273,0,250.4192590739
"1791",1,4,0,0,38.274169922,0,0,0,2,135,0,5,38.274169922
"1794",0,0,0,1.4677410126,75.983825684,1.3548383713,0.7903223038,0,40,0,0,666,79.5967273717
"1801",1,11,0.9032254219,1.129032135,23.03225708,0,0,0,4,0,3,81,25.0645146369
"1805",0,0,0.2258063555,0,0,0,0,0,0,0,0,0,0.2258063555
"1809",1,25,2.5967731476,7.2258033752,43.919342041,0.451612711,14.45160675,0,15,3,4,6,68.6451380248
"1816",1,48,0.2258063555,3.387096405,48.774169922,0,11.40322113,0,3,64,15,5,63.7902938125
"1854",0,0,2.5967731476,0,78.354797363,1.2419347763,0,0,0,3,331,0,82.1935052869
"1856",0,0,9.1451568604,0,0,0,0,0,9,4,3,4,9.1451568604
"1857",0,0,15.01612854,1.9193544388,81.854797363,2.9354820251,11.17741394,0,172,0,5,23,112.9031763069
"1887",1,11,4.629032135,4.1774177551,23.59677124,0,0.2258063555,0,40,7,215,4,32.6290274856
"1888",0,0,0,0,4.7419319153,0.2258063555,0,0,2,189,2,2,4.9677382708
"1889",1,23,21.338699341,2.5967731476,93.370910645,0.1129031777,21.56451416,0,5,24,5,3,138.9838004713
"1894",0,0,15.12902832,3.0483856201,41.209655762,0,2.25806427,0,244,0,2,0,61.6451339721
"1906",0,0,3.6129016876,0,3.6129016876,0,0.2258063555,0,4,5,8,16,7.4516097307
"1942",0,0,3.7258052826,22.12902832,92.467712402,0,0,0,27,402,47,7,118.3225460046
"1948",0,0,0,5.3064498901,60.403198242,0.7903223038,12.983863831,0,176,1,0,2,79.4838342669
"1960",1,19,4.9677391052,0,3.0483856201,0,0,0,26,2,5,1,8.0161247253
