original,X1,0.091973186,0.072797635
FALSE,0.061122276,,0.061122276
FALSE,0.093464261,,0.093464261
FALSE,0.067998212,,0.067998212
FALSE,0.060078637,,0.060078637
FALSE,0.093738535,,0.093738535
FALSE,0.072699961,,0.072699961
FALSE,0.063609857,,0.063609857
FALSE,0.059116403,,0.059116403
FALSE,0.058302633,,0.058302633
FALSE,0.057784892,,0.057784892
FALSE,0.064223288,,0.064223288
FALSE,0.061720605,,0.061720605
FALSE,0.083836261,,0.083836261
FALSE,0.066081288,,0.066081288
FALSE,0.056365638,,0.056365638
TRUE,0.114840163,0.114840163,
FALSE,0.08330976,,0.08330976
FALSE,0.065986324,,0.065986324
FALSE,0.071289032,,0.071289032
TRUE,0.071773986,0.071773986,
FALSE,0.070427835,,0.070427835
FALSE,0.075099335,,0.075099335
FALSE,0.059080427,,0.059080427
FALSE,0.116857229,,0.116857229
FALSE,0.064675473,,0.064675473
FALSE,0.060737061,,0.060737061
FALSE,0.070800328,,0.070800328
FALSE,0.099518224,,0.099518224
FALSE,0.073621507,,0.073621507
FALSE,0.058543473,,0.058543473
FALSE,0.063414213,,0.063414213
FALSE,0.080309311,,0.080309311
TRUE,0.095648727,0.095648727,
FALSE,0.054745034,,0.054745034
FALSE,0.215064923,,0.215064923
FALSE,0.063397971,,0.063397971
FALSE,0.079126653,,0.079126653
FALSE,0.060561676,,0.060561676
FALSE,0.077002085,,0.077002085
TRUE,0.065268972,0.065268972,
FALSE,0.065956699,,0.065956699
FALSE,0.074507988,,0.074507988
FALSE,0.084901263,,0.084901263
FALSE,0.145858432,,0.145858432
FALSE,0.059802017,,0.059802017
TRUE,0.07518007,0.07518007,
FALSE,0.057327268,,0.057327268
FALSE,0.087945999,,0.087945999
FALSE,0.065709296,,0.065709296
FALSE,0.056162697,,0.056162697
FALSE,0.064804495,,0.064804495
FALSE,0.063425309,,0.063425309
FALSE,0.09073585,,0.09073585
FALSE,0.116028357,,0.116028357
FALSE,0.07197047,,0.07197047
FALSE,0.06977646,,0.06977646
FALSE,0.080511343,,0.080511343
TRUE,0.092662285,0.092662285,
FALSE,0.054522938,,0.054522938
FALSE,0.099000769,,0.099000769
FALSE,0.063799646,,0.063799646
FALSE,0.075067904,,0.075067904
FALSE,0.061035027,,0.061035027
FALSE,0.071581412,,0.071581412
FALSE,0.060811589,,0.060811589
FALSE,0.054140144,,0.054140144
FALSE,0.068671636,,0.068671636
FALSE,0.085733464,,0.085733464
FALSE,0.081380564,,0.081380564
FALSE,0.083762589,,0.083762589
FALSE,0.088139567,,0.088139567
FALSE,0.072267945,,0.072267945
FALSE,0.059547882,,0.059547882
FALSE,0.078153731,,0.078153731
FALSE,0.058433832,,0.058433832
FALSE,0.081448229,,0.081448229
FALSE,0.060908256,,0.060908256
FALSE,0.052566141,,0.052566141
FALSE,0.067314968,,0.067314968
FALSE,0.085769863,,0.085769863
FALSE,0.062420871,,0.062420871
FALSE,0.066680047,,0.066680047
FALSE,0.067104605,,0.067104605
FALSE,0.067643267,,0.067643267
FALSE,0.065648952,,0.065648952
FALSE,0.061452,,0.061452
FALSE,0.054406309,,0.054406309
FALSE,0.067582322,,0.067582322
FALSE,0.087464573,,0.087464573
FALSE,0.05701489,,0.05701489
FALSE,0.074088116,,0.074088116
FALSE,0.065699852,,0.065699852
FALSE,0.059309781,,0.059309781
FALSE,0.062937229,,0.062937229
FALSE,0.067440962,,0.067440962
FALSE,0.074193882,,0.074193882
FALSE,0.062747791,,0.062747791
FALSE,0.068698696,,0.068698696
FALSE,0.060637792,,0.060637792
FALSE,0.0846518,,0.0846518
FALSE,0.088747938,,0.088747938
FALSE,0.072787991,,0.072787991
FALSE,0.081186104,,0.081186104
FALSE,0.05776567,,0.05776567
FALSE,0.094262265,,0.094262265
FALSE,0.05994587,,0.05994587
